trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
TR1,14:21:00,14:21:00,109,115,0,0
TR1,14:26:00,14:26:00,110,116,0,0
TR1,14:31:00,14:31:00,111,117,0,0
TR1,14:34:00,14:34:00,112,118,0,0
TR1,14:37:00,14:37:00,113,119,0,0
TR1,14:38:00,14:38:00,114,120,0,0
TR1,14:42:00,15:00:00,001,121,0,0
TR1,15:01:00,15:01:00,101,122,0,0
TR1,15:03:00,15:03:00,102,123,0,0
TR1,15:06:00,15:06:00,103,124,0,0
TR1,15:09:00,15:09:00,104,125,0,0
TR1,15:11:00,15:11:00,105,126,0,0
TR1,15:14:00,15:14:00,106,127,0,0
TR1,15:16:00,15:16:00,107,128,0,0
TR1,15:18:00,15:18:00,108,129,0,0
TR1,15:21:00,15:21:00,109,130,0,0
TR1,15:26:00,15:26:00,110,131,0,0
TR1,15:31:00,15:31:00,111,132,0,0
TR1,15:34:00,15:34:00,112,133,0,0
TR1,15:37:00,15:37:00,113,134,0,0
TR1,15:38:00,15:38:00,114,135,0,0
TR1,15:42:00,16:00:00,001,136,0,0
TR1,16:01:00,16:01:00,101,137,0,0
TR1,16:03:00,16:03:00,102,138,0,0
TR1,16:06:00,16:06:00,103,139,0,0
TR1,16:09:00,16:09:00,104,140,0,0
TR1,16:11:00,16:11:00,105,141,0,0
TR1,16:14:00,16:14:00,106,142,0,0
TR1,16:16:00,16:16:00,107,143,0,0
TR1,16:18:00,16:18:00,108,144,0,0
TR1,16:21:00,16:21:00,109,145,0,0
TR1,16:26:00,16:26:00,110,146,0,0
TR1,16:31:00,16:31:00,111,147,0,0
TR1,16:34:00,16:34:00,112,148,0,0
TR1,16:37:00,16:37:00,113,149,0,0
TR1,16:38:00,16:38:00,114,150,0,0
TR1,16:42:00,17:00:00,001,151,0,0
TR1,17:01:00,17:01:00,101,152,0,0
TR1,17:03:00,17:03:00,102,153,0,0
TR1,17:06:00,17:06:00,103,154,0,0
TR1,17:09:00,17:09:00,104,155,0,0
TR1,17:11:00,17:11:00,105,156,0,0
TR1,17:14:00,17:14:00,106,157,0,0
TR1,17:16:00,17:16:00,107,158,0,0
TR1,17:18:00,17:18:00,108,159,0,0
TR1,17:21:00,17:21:00,109,160,0,0
TR1,17:26:00,17:26:00,110,161,0,0
TR1,17:31:00,17:31:00,111,162,0,0
TR1,17:34:00,17:34:00,112,163,0,0
TR1,17:37:00,17:37:00,113,164,0,0
TR1,17:38:00,17:38:00,114,165,0,0
TR1,17:42:00,18:00:00,001,166,0,0
TB1,07:00:00,07:00:00,001,1,0,0
TB1,07:06:00,07:06:00,201,2,0,0
TB1,07:08:00,07:08:00,202,3,0,0
TB1,07:10:00,07:10:00,203,4,0,0
TB1,07:11:00,07:11:00,204,5,0,0
TB1,07:13:00,07:13:00,205,6,0,0
TB1,07:20:00,07:20:00,206,7,0,0
TB1,07:26:00,07:26:00,207,8,0,0
TB1,07:28:00,07:28:00,208,9,0,0
TB1,07:30:00,07:30:00,209,10,0,0
TB1,07:32:00,07:32:00,210,11,0,0
TB1,07:34:00,07:34:00,211,12,0,0
TB1,07:39:00,07:39:00,212,13,0,0
TB1,07:42:00,08:00:00,001,14,0,0
TB1,08:06:00,08:06:00,201,15,0,0
TB1,08:08:00,08:08:00,202,16,0,0
TB1,08:10:00,08:10:00,203,17,0,0
TB1,08:11:00,08:11:00,204,18,0,0
TB1,08:13:00,08:13:00,205,19,0,0
TB1,08:20:00,08:20:00,206,20,0,0
TB1,08:26:00,08:26:00,207,21,0,0
TB1,08:28:00,08:28:00,208,22,0,0
TB1,08:30:00,08:30:00,209,23,0,0
TB1,08:32:00,08:32:00,210,24,0,0
TB1,08:34:00,08:34:00,211,25,0,0
TB1,08:39:00,08:39:00,212,26,0,0
TB1,08:42:00,09:00:00,001,27,0,0
TB1,09:06:00,09:06:00,201,28,0,0
TB1,09:08:00,09:08:00,202,29,0,0
TB1,09:10:00,09:10:00,203,30,0,0
TB1,09:11:00,09:11:00,204,31,0,0
TB1,09:13:00,09:13:00,205,32,0,0
TB1,09:20:00,09:20:00,206,33,0,0
TB1,09:26:00,09:26:00,207,34,0,0
TB1,09:28:00,09:28:00,208,35,0,0
TB1,09:30:00,09:30:00,209,36,0,0
TB1,09:32:00,09:32:00,210,37,0,0
TB1,09:34:00,09:34:00,211,38,0,0
TB1,09:39:00,09:39:00,212,39,0,0
TB1,09:42:00,10:00:00,001,40,0,0
TB1,10:06:00,10:06:00,201,41,0,0
TB1,10:08:00,10:08:00,202,42,0,0
TB1,10:10:00,10:10:00,203,43,0,0
TB1,10:11:00,10:11:00,204,44,0,0
TB1,10:13:00,10:13:00,205,45,0,0
TB1,10:20:00,10:20:00,206,46,0,0
TB1,10:26:00,10:26:00,207,47,0,0
TB1,10:28:00,10:28:00,208,48,0,0
TB1,10:30:00,10:30:00,209,49,0,0
TB1,10:32:00,10:32:00,210,50,0,0
TB1,10:34:00,10:34:00,211,51,0,0
TB1,10:39:00,10:39:00,212,52,0,0
TB1,10:42:00,11:00:00,001,53,0,0
TB1,11:06:00,11:06:00,201,54,0,0
TB1,11:08:00,11:08:00,202,55,0,0
TB1,11:10:00,11:10:00,203,56,0,0
TB1,11:11:00,11:11:00,204,57,0,0
TB1,11:13:00,11:13:00,205,58,0,0
TB1,11:20:00,11:20:00,206,59,0,0
TB1,11:26:00,11:26:00,207,60,0,0
TB1,11:28:00,11:28:00,208,61,0,0
TB1,11:30:00,11:30:00,209,62,0,0
TB1,11:32:00,11:32:00,210,63,0,0
TB1,11:34:00,11:34:00,211,64,0,0
TB1,11:39:00,11:39:00,212,65,0,0
TB1,11:42:00,12:00:00,001,66,0,0
TB1,12:06:00,12:06:00,201,67,0,0
TB1,12:08:00,12:08:00,202,68,0,0
TB1,12:10:00,12:10:00,203,69,0,0
TB1,12:11:00,12:11:00,204,70,0,0
TB1,12:13:00,12:13:00,205,71,0,0
TB1,12:20:00,12:20:00,206,72,0,0
TB1,12:26:00,12:26:00,207,73,0,0
TB1,12:28:00,12:28:00,208,74,0,0
TB1,12:30:00,12:30:00,209,75,0,0
TB1,12:32:00,12:32:00,210,76,0,0
TB1,12:34:00,12:34:00,211,77,0,0
TB1,12:39:00,12:39:00,212,78,0,0
TB1,12:42:00,13:00:00,001,79,0,0
TB1,13:06:00,13:06:00,201,80,0,0
TB1,13:08:00,13:08:00,202,81,0,0
TB1,13:10:00,13:10:00,203,82,0,0
TB1,13:11:00,13:11:00,204,83,0,0
TB1,13:13:00,13:13:00,205,84,0,0
TB1,13:20:00,13:20:00,206,85,0,0
TB1,13:26:00,13:26:00,207,86,0,0
TB1,13:28:00,13:28:00,208,87,0,0
TB1,13:30:00,13:30:00,209,88,0,0
TB1,13:32:00,13:32:00,210,89,0,0
TB1,13:34:00,13:34:00,211,90,0,0
TB1,13:39:00,13:39:00,212,91,0,0
TB1,13:42:00,14:00:00,001,92,0,0
TB1,14:06:00,14:06:00,201,93,0,0
TB1,14:08:00,14:08:00,202,94,0,0
